Number	Words	First Letter	Last Letter	Length		Notes
4338	boorihappo	b	o	10		
4339	boorisalva	b	a	10		
4340	boorivesi	b	i	9		
4341	boosteri	b	i	8		
4342	bootsi	b	i	6		
4343	bordeaux	b	x	8		
4344	bordeauxviini	b	i	13		
4345	bordelli	b	i	8		
4346	bordyyri	b	i	8		
4347	borrelioosi	b	i	11		
4348	borssi	b	i	6		
4349	borssikeitto	b	o	12		
4350	borštš	b	š	6		
4351	bosniahertsegovinalainen	b	n	24		
4352	bosoni	b	i	6		
4353	bossa nova	b	a	10		
4354	bostonkakku	b	u	11		
4355	botaanikko	b	o	10		
4356	botaaninen	b	n	10		
4357	botaanisesti	b	i	12		
4358	botaniikka	b	a	10		
4359	botanisti	b	i	9		
4360	botuliini	b	i	9		
4361	botulismi	b	i	9		
4362	bougainvillea	b	a	13		
4363	bouillabaisse	b	e	13		
4364	bouquet	b	t	7		
4365	bourbon	b	n	7		
4366	bourbonviski	b	i	12		
4367	bourette	b	e	8		
4368	bourgogne	b	e	9		
4369	bourgogneviini	b	i	14		
4370	boutique	b	e	8		
4371	boyfriend	b	d	9		
4372	boysenmarja	b	a	11		
4373	braatvursti	b	i	11		
4374	brahma	b	a	6		
4375	brahmaani	b	i	9		
4376	brahmalainen	b	n	12		
4377	brahmalaisuus	b	s	13		
4378	brahmanismi	b	i	11		
4379	bramaani	b	i	8		
4380	bramiini	b	i	8		
4381	brandy	b	y	6		
4382	brasserie	b	e	9		
4383	brassi	b	i	6		
4384	bravo	b	o	5		
4385	bravuuri	b	i	8		
4386	bravuurinumero	b	o	14		
4387	breikata	b	a	8		
4388	breikkaus	b	s	9		
4389	breikki	b	i	7		
4390	breikkitanssi	b	i	13		
4391	brenkku	b	u	7		
4392	breseerata	b	a	10		
4393	brežneviläinen	b	n	14		
4394	brežneviläisesti	b	i	16		
4395	brežneviläisyys	b	s	15		
4396	bridge	b	e	6		
4397	brie	b	e	4		
4398	briejuusto	b	o	10		
4399	brienjuusto	b	o	11		
4400	brigadööri	b	i	10		
4401	briiffaus	b	s	9		
4402	briketti	b	i	8		
4403	briljantti	b	i	10		
4404	briljanttisormus	b	s	16		
4405	briljeerata	b	a	11		
4406	briljeeraus	b	s	11		
4407	briossi	b	i	7		
4408	britti	b	i	6		
4409	brittiläinen	b	n	12		
4410	brittiläisyys	b	s	13		
4411	brodeerata	b	a	10		
4412	brodeeraus	b	s	10		
4413	brodyyri	b	i	8		
4414	brodyyrikangas	b	s	14		
4415	brodyyrinauha	b	a	13		
4416	broidi	b	i	6		
4417	broileri	b	i	8		
4418	broilerileike	b	e	13		
4419	broilerinkoipi	b	i	14		
4420	broileripoliitikko	b	o	18		
4421	broileripyörykkä	b	ä	16		
4422	brokadi	b	i	7		
4423	brokkoli	b	i	8		
4424	bromi	b	i	5		
4425	bronkiitti	b	i	10		
4426	brontosaurus	b	s	12		
4427	brosyyri	b	i	8		
4428	brovninki	b	i	9		
4429	brunch	b	h	6		
4430	brunssi	b	i	7		
4431	brutaali	b	i	8		
4432	brutaalius	b	s	10		
4433	brutto	b	o	6		
4434	bruttohinta	b	a	11		
4435	bruttokansantuote	b	e	17		
4436	bruttopaino	b	o	11		
4437	bruttopalkka	b	a	12		
4438	bruttorekisteritonni	b	i	20		
4439	bruttotulo	b	o	10		
4440	bruttoveroaste	b	e	14		
4441	brysselinkaali	b	i	14		
4442	bryssä	b	ä	6		
4443	brändi	b	i	6		
4444	buddhalainen	b	n	12		
4445	buddhalaisuus	b	s	13		
4446	buddhismi	b	i	9		
4447	budjetoida	b	a	10		
4448	budjetointi	b	i	11		
4449	budjetti	b	i	8		
4450	budjettiesitys	b	s	14		
4451	budjettikehys	b	s	13		
4452	budjettikeskustelu	b	u	18		
4453	budjettiraami	b	i	13		
4454	budjettiriihi	b	i	13		
4455	budo	b	o	4		
4456	budolaji	b	i	8		
4457	bufetti	b	i	7		
4458	bufettipöytä	b	ä	12		
4459	bufettitarjoilu	b	u	15		
4460	buffet	b	t	6		
4461	buffettarjoilu	b	u	14		
4462	bugi	b	i	4		
4463	bukee	b	e	5		
4464	buklee	b	e	6		
4465	bukleelanka	b	a	11		
4466	bulevardi	b	i	9		
4467	bulevardilehdistö	b	ö	17		
4468	bulevardilehti	b	i	14		
4469	bulevardisportti	b	i	16		
4470	bulgaari	b	i	8		
4471	bulgarialainen	b	n	14		
4472	buliimikko	b	o	10		
4473	bulimia	b	a	7		
4474	bulkki	b	i	6		
4475	bulkkitavara	b	a	12		
4476	bulla	b	a	5		
4477	bulldoggi	b	i	9		
4478	bulletlaina	b	a	11		
4479	bullterrieri	b	i	12		
4480	bulvaani	b	i	8		
4481	bumerangi	b	i	9		
4482	bungalow	b	w	8		
4483	bunkkeri	b	i	8		
4484	burnout	b	t	7		
4485	business	b	s	8		
4486	busmanni	b	i	8		
4487	bušmanni	b	i	8		
4488	bussi	b	i	5		
4489	bussikaista	b	a	11		
4490	bussikuljetus	b	s	13		
4491	bussikuski	b	i	10		
4492	bussiliikenne	b	e	13		
4493	bussilippu	b	u	10		
4494	bussinkuljettaja	b	a	16		
4495	bussiyhteys	b	s	11		
4496	butaani	b	i	7		
4497	buuata	b	a	6		
4498	buuaus	b	s	6		
4499	buukata	b	a	7		
4500	buukkaus	b	s	8		
4501	buumi	b	i	5		
4502	buuri	b	i	5		
4503	buzuki	b	i	6		
4504	bygga	b	a	5		
4505	byrokraatti	b	i	11		
4506	byrokraattinen	b	n	14		
4507	byrokraattisesti	b	i	16		
4508	byrokraattistaa	b	a	15		
4509	byrokraattistua	b	a	15		
4510	byrokraattisuus	b	s	15		
4511	byrokratia	b	a	10		
4512	byrokratisoida	b	a	14		
4513	byrokratisointi	b	i	15		
4514	byrokratisoitua	b	a	15		
4515	bysanttilainen	b	n	14		
4516	bysanttilaisuus	b	s	15		
4517	byte	b	e	4		
4518	bändi	b	i	5		
4519	bänet	b	t	5		
4520	bänks	b	s	5		
4521	caddie	c	e	6		
4522	cafeteria	c	a	9		
4523	calmetterokotus	c	s	15		
4524	calvados	c	s	8		
4525	calypso	c	o	7		
4526	camembert	c	t	9		
4527	camembertinjuusto	c	o	17		
4528	camembertjuusto	c	o	15		
4529	cameorooli	c	i	10		
4530	camping	c	g	7		
4531	campus	c	s	6		
4532	canasta	c	a	7		
4533	cancan	c	n	6		
4534	cannelloni	c	i	10		
4535	cappuccino	c	o	10		
4536	casanova	c	a	8		
4537	cashewpähkinä	c	ä	13		
4538	catering	c	g	8		
4539	cayennenpippuri	c	i	15		
4540	CD	C	D	2		
4541	CD-levy	C	y	7		
4542	CD-levysoitin	C	n	13		
4543	CD-ROM	C	M	6		
4544	CD-ROM-asema	C	a	12		
4545	CD-ROM-levy	C	y	11		
4546	CD-soitin	C	n	9		
4547	celsiusaste	c	e	11		
4548	cembalo	c	o	7		
4549	cesium	c	m	6		
4550	cha-cha-cha	c	a	11		
4551	chanson	c	n	7		
4552	charleston	c	n	10		
4553	charlotte russe	c	e	15		
4554	charmantti	c	i	10		
4555	charmi	c	i	6		
4556	charmikas	c	s	9		
4557	charterlento	c	o	12		
4558	chatata	c	a	7		
4559	chateaubriand	c	d	13		
4560	châteauviini	c	i	12		
4561	chatti	c	i	6		
4562	cheddar	c	r	7		
4563	cheddarinjuusto	c	o	15		
4564	cheddarjuusto	c	o	13		
4565	cheerleader	c	r	11		
4566	chenille	c	e	8		
4567	chic	c	c	4		
4568	chilensalpietari	c	i	16		
4569	chili	c	i	5		
4570	chilikastike	c	e	12		
4571	chilipippuri	c	i	12		
4572	chinchilla	c	a	10		
4573	chippendale	c	e	11		
4574	chippendalekalusto	c	o	18		
4575	chippendaletyyli	c	i	16		
4576	chippendaletyylinen	c	n	19		
4577	chips	c	s	5		
4578	cicero	c	o	6		
4579	cirrus	c	s	6		
4580	cirruspilvi	c	i	11		
4581	city	c	y	4		
4582	citykulttuuri	c	i	13		
4583	civis	c	s	5		
4584	clearing	c	g	8		
4585	clearingkurssi	c	i	14		
4586	clou	c	u	4		
4587	cockerspanieli	c	i	14		
4588	cocktail	c	l	8		
4589	cocktailkirsikka	c	a	16		
4590	cocktailkutsut	c	t	14		
4591	cocktaillasi	c	i	12		
4592	cocktailleipä	c	ä	13		
4593	cocktailpala	c	a	12		
4594	cocktailtikku	c	u	13		
4595	cocktailtilaisuus	c	s	17		
4596	college	c	e	7		
4597	collegepusero	c	o	13		
4598	collie	c	e	6		
4599	come-back	c	k	9		
4600	contra	c	a	6		
4601	contrasissi	c	i	11		
4602	copy	c	y	4		
4603	copyright	c	t	9		
4604	copywriter	c	r	10		
4605	cos-salaatti	c	i	12		
4606	coulombi	c	i	8		
4607	country	c	y	7		
4608	countrymusiikki	c	i	15		
4609	coupé	c	é	5		
4610	couscous	c	s	8		
4611	cowboy	c	y	6		
4612	cowboyhattu	c	u	11		
4613	crack	c	k	5		
4614	crème fraîche	c	e	13		
4615	crêpe	c	e	5		
4616	crescendo	c	o	9		
4617	croissant	c	t	9		
4618	csárdás	c	s	7		
4619	cum laude	c	e	9		
4620	cum laude approbatur	c	r	20		
4621	cum laude -arvosana	c	a	19		
4622	cum laude -tentti	c	i	17		
4623	cumulus	c	s	7		
4624	cumuluspilvi	c	i	12		
4625	cup	c	p	3		
4626	cupvoittaja	c	a	11		
4627	curry	c	y	5		
4628	currykana	c	a	9		
4629	currykastike	c	e	12		
4630	daalia	d	a	6		
4631	daami	d	i	5		
4632	dadaismi	d	i	8		
4633	dadaisti	d	i	8		
4634	dadaistinen	d	n	11		
4635	daktyyli	d	i	8		
4636	dalai-lama	d	a	10		
4637	dalmatiankoira	d	a	14		
4638	damaski	d	i	7		
4639	damasti	d	i	7		
4640	damastiliina	d	a	12		
4641	dandy	d	y	5		
4642	darvinismi	d	i	10		
4643	darvinisti	d	i	10		
4644	darvinistinen	d	n	13		
4645	data	d	a	4		
4646	datanomi	d	i	8		
4647	datansiirto	d	o	11		
4648	datansiirtoverkko	d	o	17		
4649	dataverkko	d	o	10		
4650	dateerata	d	a	9		
4651	dateeraus	d	s	9		
4652	datiivi	d	i	7		
4653	datiiviadverbiaali	d	i	18		
4654	datša	d	a	5		
4655	deadline	d	e	8		
4656	dealer	d	r	6		
4657	debatti	d	i	7		
4658	debattikirjallisuus	d	s	19		
4659	debentuuri	d	i	10		
4660	debentuurilaina	d	a	15		
4661	debet	d	t	5		
4662	debetpuoli	d	i	10		
4663	debiili	d	i	7		
4664	debytantti	d	i	10		
4665	debytoida	d	a	9		
4666	debyytti	d	i	8		
4667	deduktiivinen	d	n	13		
4668	deduktiivisesti	d	i	15		
4669	deduktiivisuus	d	s	14		
4670	deduktio	d	o	8		
4671	deekikselle	d	e	11		
4672	deekiksellä	d	ä	11		
4673	deeku	d	u	5		
4674	defekti	d	i	7		
4675	defensiivinen	d	n	13		
4676	defensiivisesti	d	i	15		
4677	defensiivisyys	d	s	14		
4678	definiittinen	d	n	13		
4679	definiittisesti	d	i	15		
4680	definiittisyys	d	s	14		
4681	definioida	d	a	10		
4682	definitiivinen	d	n	14		
4683	definitiivisesti	d	i	16		
4684	definitiivisyys	d	s	15		
4685	definitio	d	o	9		
4686	deflaatio	d	o	9		
4687	deformaatio	d	o	11		
4688	degeneraatio	d	o	12		
4689	degeneroitua	d	a	12		
4690	deismi	d	i	6		
4691	deisti	d	i	6		
4692	deistinen	d	n	9		
4693	deka-	d	-	5		
4694	dekaani	d	i	7		
4695	dekaani	d	i	7		
4696	dekadenssi	d	i	10		
4697	dekadentisti	d	i	12		
4698	dekadentti	d	i	10		
4699	dekantoida	d	a	10		
4700	dekantointi	d	i	11		
4701	dekantteri	d	i	10		
4702	dekantterilasi	d	i	14		
4703	dekkari	d	i	7		
4704	dekkarikirjailija	d	a	17		
4705	dekkarikirjallisuus	d	s	19		
4706	dekki	d	i	5		
4707	deklinaatio	d	o	11		
4708	dekoltee	d	e	8		
4709	dekoodata	d	a	9		
4710	dekoodaus	d	s	9		
4711	dekooderi	d	i	9		
4712	dekoraatio	d	o	10		
4713	dekoratiivinen	d	n	14		
4714	dekoratiivisesti	d	i	16		
4715	dekoratiivisuus	d	s	15		
4716	delata	d	a	6		
4717	delegaatio	d	o	10		
4718	delegaatti	d	i	10		
4719	delegoida	d	a	9		
4720	delegointi	d	i	10		
4721	delfiini	d	i	8		
4722	delfinaario	d	o	11		
4723	delta	d	a	5		
4724	deltalihas	d	s	10		
4725	deltasiipi	d	i	10		
4726	demagnetoida	d	a	12		
4727	demagnetointi	d	i	13		
4728	demagogi	d	i	8		
4729	demagogia	d	a	9		
4730	demagoginen	d	n	11		
4731	demagogisesti	d	i	13		
4732	demagogisuus	d	s	12		
4733	demari	d	i	6		
4734	demarkaatiolinja	d	a	16		
4735	dementia	d	a	8		
4736	dementikko	d	o	10		
4737	dementoida	d	a	10		
4738	dementointi	d	i	11		
4739	dementoitua	d	a	11		
4740	dementti	d	i	8		
4741	demilitarisoida	d	a	15		
4742	demilitarisointi	d	i	16		
4743	deminutiivi	d	i	11		
4744	deminutiivinen	d	n	14		
4745	demo	d	o	4		
4746	demobilisaatio	d	o	14		
4747	demobilisoida	d	a	13		
4748	demobilisointi	d	i	14		
4749	demografi	d	i	9		
4750	demografia	d	a	10		
4751	demografinen	d	n	12		
4752	demografisesti	d	i	14		
4753	demokraatti	d	i	11		
4754	demokraattinen	d	n	14		
4755	demokraattisesti	d	i	16		
4756	demokraattistaa	d	a	15		
4757	demokraattistua	d	a	15		
4758	demokraattisuus	d	s	15		
4759	demokratia	d	a	10		
4760	demokratisoida	d	a	14		
4761	demokratisointi	d	i	15		
4762	demokratisoitua	d	a	15		
4763	demoni	d	i	6		
4764	demoninen	d	n	9		
4765	demonisesti	d	i	11		
4766	demonisuus	d	s	10		
4767	demonstraatio	d	o	13		
4768	demonstratiivinen	d	n	17		
4769	demonstratiivipronomini	d	i	23		
4770	demonstratiivisesti	d	i	19		
4771	demonstratiivisuus	d	s	18		
4772	demonstroida	d	a	12		
4773	demonstrointi	d	i	13		
4774	demoralisoida	d	a	13		
4775	demoralisointi	d	i	14		
4776	demoralisoitua	d	a	14		
4777	denaturoida	d	a	11		
4778	denaturointi	d	i	12		
4779	denier	d	r	6		
4780	denimi	d	i	6		
4781	deodorantti	d	i	11		
4782	deodoranttisaippua	d	a	18		
4783	deoksiribonukleiinihappo	d	o	24		
4784	depis	d	s	5		
4785	deponoida	d	a	9		
4786	deponointi	d	i	10		
4787	depressiivinen	d	n	14		
4788	depressiivisesti	d	i	16		
4789	depressiivisyys	d	s	15		
4790	depressio	d	o	9		
4791	depressiokausi	d	i	14		
4792	depressiolääke	d	e	14		
4793	depressiotila	d	a	13		
4794	derivaatta	d	a	10		
4795	derivoida	d	a	9		
4796	derivointi	d	i	10		
4797	dermatologi	d	i	11		
4798	dermatologia	d	a	12		
4799	dermatologinen	d	n	14		
4800	dermatologisesti	d	i	16		
4801	desantti	d	i	8		
4802	desentralisaatio	d	o	16		
4803	desentralisoida	d	a	15		
4804	desentralisointi	d	i	16		
4805	desi	d	i	4		
4806	desi-	d	-	5		
4807	desibeli	d	i	8		
4808	design	d	n	6		
4809	designer	d	r	8		
4810	designtuote	d	e	11		
4811	desigramma	d	a	10		
4812	desilitra	d	a	9		
4813	desimaali	d	i	9		
4814	desimaalijärjestelmä	d	ä	20		
4815	desimaaliluku	d	u	13		
4816	desimaalinen	d	n	12		
4817	desimaalipilkku	d	u	15		
4818	desimetri	d	i	9		
4819	desimetriaallot	d	t	15		
4820	desinfektio	d	o	11		
4821	desinfektoida	d	a	13		
4822	desinfektointi	d	i	14		
4823	desinfioida	d	a	11		
4824	desinfiointi	d	i	12		
4825	desinfiointiaine	d	e	16		
4826	desinfiointilaite	d	e	17		
4827	deskriptiivinen	d	n	15		
4828	deskriptiivisesti	d	i	17		
4829	deskriptiivisyys	d	s	16		
4830	deskriptio	d	o	10		
4831	desktop publishing	d	g	18		
4832	desoksiribonukleiinihappo	d	o	25		
4833	despootti	d	i	9		
4834	despoottinen	d	n	12		
4835	despoottisesti	d	i	14		
4836	despoottisuus	d	s	13		
4837	despotia	d	a	8		
4838	despotismi	d	i	10		
4839	detalji	d	i	7		
4840	detaljipiirustus	d	s	16		
4841	detaljitieto	d	o	12		
4842	detektori	d	i	9		
4843	determinismi	d	i	12		
4844	deterministinen	d	n	15		
4845	deterministisesti	d	i	17		
4846	deuterium	d	m	9		
4847	devalvaatio	d	o	11		
4848	devalvoida	d	a	10		
4849	devalvointi	d	i	11		
4850	devalvoitua	d	a	11		
4851	deviaatio	d	o	9		
4852	devonikausi	d	i	11		
4853	dia	d	a	3		
4854	diaari	d	i	6		
4855	diaarinumero	d	o	12		
4856	diaario	d	o	7		
4857	diabeetikko	d	o	11		
4858	diabetes	d	s	8		
4859	diadeemi	d	i	8		
4860	diagnoosi	d	i	9		
4861	diagnosoida	d	a	11		
4862	diagnosointi	d	i	12		
4863	diagnostiikka	d	a	13		
4864	diagnostinen	d	n	12		
4865	diagnostisesti	d	i	14		
4866	diagnostisuus	d	s	13		
4867	diagonaali	d	i	10		
4868	diagonaalihiihto	d	o	16		
4869	diagonaalityyli	d	i	15		
4870	diagrammi	d	i	9		
4871	diaheitin	d	n	9		
4872	diakehys	d	s	8		
4873	diakoni	d	i	7		
4874	diakonia	d	a	8		
4875	diakoniaompeluseura	d	a	19		
4876	diakoninen	d	n	10		
4877	diakonissa	d	a	10		
4878	diakuva	d	a	7		
4879	dialektiikka	d	a	12		
4880	dialektinen	d	n	11		
4881	dialektisesti	d	i	13		
4882	dialogi	d	i	7		
4883	dialyysi	d	i	8		
4884	dialyysihoito	d	o	13		
4885	dialyysilaite	d	e	13		
4886	diapositiivi	d	i	12		
4887	diaprojektori	d	i	13		
4888	diarioida	d	a	9		
4889	diariointi	d	i	10		
4890	diasarja	d	a	8		
4891	diaspora	d	a	8		
4892	diasporaseurakunta	d	a	18		
4893	diastolinen	d	n	11		
4894	diatoninen	d	n	10		
4895	diatsepaami	d	i	11		
4896	didaktiikka	d	a	11		
4897	didaktinen	d	n	10		
4898	didaktisesti	d	i	12		
4899	dieetti	d	i	7		
4900	dieettihoito	d	o	12		
4901	dieettikeittiö	d	ö	14		
4902	dieettiruoka	d	a	12		
4903	diesel	d	l	6		
4904	dieselauto	d	o	10		
4905	dieselmoottori	d	i	14		
4906	dieselvero	d	o	10		
4907	dieselveturi	d	i	12		
4908	dieselöidä	d	ä	10		
4909	dieselöinti	d	i	11		
4910	dieselöljy	d	y	10		
4911	dieteetikko	d	o	11		
4912	dietetiikka	d	a	11		
4913	differentiaali	d	i	14		
4914	differentiaalilaskenta	d	a	22		
4915	differentiaalipsykologia	d	a	24		
4916	differentiaaliyhtälö	d	ö	20		
4917	differentioida	d	a	14		
4918	differentiointi	d	i	15		
4919	differentioitua	d	a	15		
4920	diffraktio	d	o	10		
4921	diffuusi	d	i	8		
4922	diffuusio	d	o	9		
4923	diftongi	d	i	8		
4924	digata	d	a	6		
4925	diginauhuri	d	i	11		
4926	digitaalikello	d	o	14		
4927	digitaalilevy	d	y	13		
4928	digitaalimittari	d	i	16		
4929	digitaalinen	d	n	12		
4930	digitaalinäyttö	d	ö	15		
4931	digitaalisesti	d	i	14		
4932	digitaalisignaali	d	i	17		
4933	digitaalistaa	d	a	13		
4934	digitaalistua	d	a	13		
4935	digitaalisuus	d	s	13		
4936	digitaalitekniikka	d	a	18		
4937	digitaaliäänite	d	e	15		
4938	digitaaliäänitys	d	s	16		
4939	digitalis	d	s	9		
4940	digitalisoida	d	a	13		
4941	digitalisointi	d	i	14		
4942	digitelevisio	d	o	13		
4943	digitoida	d	a	9		
4944	diileri	d	i	7		
4945	diiva	d	a	5		
4946	diivailla	d	a	9		
4947	diivailu	d	u	8		
4948	diivata	d	a	7		
4949	diktaattori	d	i	11		
4950	diktatorinen	d	n	12		
4951	diktatorisesti	d	i	14		
4952	diktatorisuus	d	s	13		
4953	diktatuuri	d	i	10		
4954	diktatuurivaltio	d	o	16		
4955	dilemma	d	a	7		
4956	diletantismi	d	i	12		
4957	diletantti	d	i	10		
4958	dimensio	d	o	8		
4959	diminuendo	d	o	10		
4960	diminutiivi	d	i	11		
4961	diminutiivinen	d	n	14		
4962	dinosaurus	d	s	10		
4963	diodi	d	i	5		
4964	dioksiini	d	i	9		
4965	diopteri	d	i	8		
4966	dioptria	d	a	8		
4967	dipata	d	a	6		
4968	diploidi	d	i	8		
4969	diploidinen	d	n	11		
4970	diplomaatti	d	i	11		
4971	diplomaattiedustus	d	s	18		
4972	diplomaattikunta	d	a	16		
4973	diplomaattinen	d	n	14		
4974	diplomaattipassi	d	i	16		
4975	diplomaattiposti	d	i	16		
4976	diplomaattisuhteet	d	t	18		
4977	diplomaattisuus	d	s	15		
4978	diplomatia	d	a	10		
4979	diplomi	d	i	7		
4980	diplomiekonomi	d	i	14		
4981	diplomi-insinööri	d	i	17		
4982	diplomikauppias	d	s	15		
4983	diplomikielenkääntäjä	d	ä	21		
4984	diplomikosmetologi	d	i	18		
4985	diplomilaulaja	d	a	14		
4986	diplomipianisti	d	i	15		
4987	diplomitutkinto	d	o	15		
4988	diplomityö	d	ö	10		
4989	diplomiurkuri	d	i	13		
4990	dipoli	d	i	6		
4991	dipoliantenni	d	i	13		
4992	dippaus	d	s	7		
4993	dippauskastike	d	e	14		
4994	dippi	d	i	5		
4995	dippikastike	d	e	12		
4996	director cantus	d	s	15		
4997	director musices	d	s	16		
4998	direktiivi	d	i	10		
4999	direktoraatti	d	i	13		
5000	dirhami	d	i	7		
5001	disc jockey	d	y	11		
5002	disinformaatio	d	o	14		
5003	disjunktiivikonjunktio	d	o	22		
5004	disjunktiivinen	d	n	15		
5005	diskantti	d	i	9		
5006	diskanttialue	d	e	13		
5007	diskanttiavain	d	n	14		
5008	diskanttisäädin	d	n	15		
5009	diskata	d	a	7		
5010	diskaus	d	s	7		
5011	disketti	d	i	8		
5012	disko	d	o	5		
5013	diskografia	d	a	11		
5014	diskojytä	d	ä	9		
5015	diskomusiikki	d	i	13		
5016	diskontata	d	a	10		
5017	diskonttaus	d	s	11		
5018	diskontto	d	o	9		
5019	diskonttokorko	d	o	14		
5020	diskota	d	a	7		
5021	diskoteekki	d	i	11		
5022	diskriminaatio	d	o	14		
5023	diskriminoida	d	a	13		
5024	diskriminointi	d	i	14		
5025	diskurssi	d	i	9		
5026	diskvalifioida	d	a	14		
5027	diskvalifiointi	d	i	15		
5028	disponibiliteetti	d	i	17		
5029	dispositio	d	o	10		
5030	dissidentti	d	i	11		
5031	dissonanssi	d	i	11		
5032	dissonoida	d	a	10		
5033	distikon	d	n	8		
5034	distribuutio	d	o	12		
5035	diureetti	d	i	9		
5036	diureettinen	d	n	12		
5037	divaani	d	i	7		
5038	divari	d	i	6		
5039	divisioona	d	a	10		
5040	divisioonankomentaja	d	a	20		
5041	dixieland	d	d	9		
5042	D-markka	D	a	8		
5043	DNA	D	A	3		
5044	dobermanni	d	i	10		
5045	dogmaatikko	d	o	11		
5046	dogmaattinen	d	n	12		
5047	dogmaattisesti	d	i	14		
5048	dogmaattisuus	d	s	13		
5049	dogmatiikka	d	a	11		
5050	dogmi	d	i	5		
5051	dokata	d	a	6		
5052	dokaus	d	s	6		
5053	doktriini	d	i	9		
5054	doku	d	u	4		
5055	dokumentaarinen	d	n	15		
5056	dokumentaatio	d	o	13		
5057	dokumentoida	d	a	12		
5058	dokumentointi	d	i	13		
5059	dokumentti	d	i	10		
5060	dokumenttielokuva	d	a	17		
5061	dokumenttiohjelma	d	a	17		
5062	dollari	d	i	7		
5063	dollarihymy	d	y	11		
5064	dolomiitti	d	i	10		
5065	dolomiittikivi	d	i	14		
5066	dominanssi	d	i	10		
5067	dominantisti	d	i	12		
5068	dominantti	d	i	10		
5069	dominikaani	d	i	11		
5070	dominikaaniluostari	d	i	19		
5071	dominikaanimunkki	d	i	17		
5072	dominikaaninunna	d	a	16		
5073	dominikaanisisar	d	r	16		
5074	dominio	d	o	7		
5075	domino	d	o	6		
5076	dominoida	d	a	9		
5077	dominointi	d	i	10		
5078	dongarit	d	t	8		
5079	donitsi	d	i	7		
5080	donjuan	d	n	7		
5081	donkata	d	a	7		
5082	donkkaus	d	s	8		
5083	donna	d	a	5		
5084	doorilainen	d	n	11		
5085	doping	d	g	6		
5086	dopingaine	d	e	10		
5087	dopingtesti	d	i	11		
5088	dorka	d	a	5		
5089	dorkasti	d	i	8		
5090	dosentti	d	i	8		
5091	dosentuuri	d	i	10		
5092	dosetti	d	i	7		
5093	dosimetri	d	i	9		
5094	doula	d	a	5		
5095	doupata	d	a	7		
5096	draama	d	a	6		
5097	draamakirjallisuus	d	s	18		
5098	draamallinen	d	n	12		
5099	draamallisesti	d	i	14		
5100	draamallisuus	d	s	13		
5101	drag racing	d	g	11		
5102	drag show	d	w	9		
5103	dragsteri	d	i	9		
5104	drakma	d	a	6		
5105	dralon	d	n	6		
5106	dramaatikko	d	o	11		
5107	dramaattinen	d	n	12		
5108	dramaattisesti	d	i	14		
5109	dramaattisuus	d	s	13		
5110	dramatiikka	d	a	11		
5111	dramatisoida	d	a	12		
5112	dramatisointi	d	i	13		
5113	dramaturgi	d	i	10		
5114	dramaturgia	d	a	11		
5115	drapeerata	d	a	10		
5116	drapeeraus	d	s	10		
5117	drastinen	d	n	9		
5118	drastisesti	d	i	11		
5119	drastisuus	d	s	10		
5120	dreeveri	d	i	8		
5121	dreija	d	a	6		
5122	dreijata	d	a	8		
5123	dreijaus	d	s	8		
5124	drilli	d	i	6		
5125	drillipora	d	a	10		
5126	drinkki	d	i	7		
5127	drinkkilasi	d	i	11		
5128	drive-in	d	n	8		
5129	drive-in-elokuvateatteri	d	i	24		
5130	dromedaari	d	i	10		
5131	druidi	d	i	6		
5132	druusi	d	i	6		
5133	dualismi	d	i	8		
5134	dualistinen	d	n	11		
5135	dualistisesti	d	i	13		
5136	dualistisuus	d	s	12		
5137	dubata	d	a	6		
5138	dubbata	d	a	7		
5139	dubbaus	d	s	7		
5140	dublee	d	e	6		
5141	dubletti	d	i	8		
5142	duchesse	d	e	8		
5143	duchesseperunasose	d	e	18		
5144	duetto	d	o	6		
5145	duffeli	d	i	7		
5146	duffelitakki	d	i	12		
5147	dumdumluoti	d	i	11		
5148	dumpata	d	a	7		
5149	dumping	d	g	7		
5150	dumppaus	d	s	8		
5151	duo	d	o	3		
5152	dupletti	d	i	8		
5153	duplikaatti	d	i	11		
5154	duralumiini	d	i	11		
5155	durra	d	a	5		
5156	durumvehnä	d	ä	10		
5157	duuma	d	a	5		
5158	duunari	d	i	7		
5159	duunata	d	a	7		
5160	duunaus	d	s	7		
5161	duuni	d	i	5		
5162	duuri	d	i	5		
5163	duuriasteikko	d	o	13		
5164	duurisointu	d	u	11		
5165	dynaaminen	d	n	10		
5166	dynaamisesti	d	i	12		
5167	dynaamisuus	d	s	11		
5168	dynamiikka	d	a	10		
5169	dynamiitti	d	i	10		
5170	dynamiittipanos	d	s	15		
5171	dynamo	d	o	6		
5172	dynamometri	d	i	11		
5173	dynastia	d	a	8		
5174	dysfasia	d	a	8		
5175	dyyni	d	i	5		
5176	džonkki	d	i	7		
5177	dödö	d	ö	4		
5178	dösä	d	ä	4		
5179	EAN-koodi	E	i	9		
5180	eau de Cologne	e	e	14		
5181	eboniitti	e	i	9		
5182	ecu	e	u	3		
5183	edam	e	m	4		
5184	edaminjuusto	e	o	12		
5185	edamjuusto	e	o	10		
5186	edelle	e	e	6		
5187	edelleen	e	n	8		
5188	edelleenkuljetus	e	s	16		
5189	edelleenvuokraus	e	s	16		
5190	edellinen	e	n	9		
5191	edellisen kaltainen	e	n	19		
5192	edellisilta	e	a	11		
5193	edelliskertainen	e	n	16		
5194	edelliskesäinen	e	n	15		
